filename,width,height,depth,class,pose,truncated,difficult,xmin,ymin,xmax,ymax
P02192.jpg,843,716,3,gun,Unspecified,0,0,407,366,565,439
P02192.jpg,843,716,3,gun,Unspecified,0,0,282,138,456,275
P05825.jpg,380,538,3,plier,Unspecified,0,0,165,268,337,340
P05825.jpg,380,538,3,plier,Unspecified,0,0,182,259,305,322
P00785.jpg,582,508,3,plier,Unspecified,0,0,302,113,504,183
P00785.jpg,582,508,3,wrench,Unspecified,0,0,305,91,508,259
P00785.jpg,582,508,3,gun,Unspecified,0,0,379,113,513,238
P00785.jpg,582,508,3,knife,Unspecified,0,1,63,223,328,371
P00785.jpg,582,508,3,plier,Unspecified,0,0,39,192,244,292
P07954.jpg,645,664,3,wrench,Unspecified,0,0,189,347,252,505
P07954.jpg,645,664,3,wrench,Unspecified,0,0,341,283,410,424
P07954.jpg,645,664,3,wrench,Unspecified,0,0,411,287,536,388
P06492.jpg,961,590,3,plier,Unspecified,0,0,181,346,203,445
P02838.jpg,842,609,3,gun,Unspecified,0,0,485,248,626,367
P04291.jpg,1500,988,3,plier,Unspecified,0,0,1095,679,1186,785
P04291.jpg,1500,988,3,wrench,Unspecified,0,0,1177,636,1221,789
P04291.jpg,1500,988,3,scissor,Unspecified,0,0,424,563,506,620
P07940.jpg,379,384,3,plier,Unspecified,0,0,135,133,199,283
P06486.jpg,653,620,3,plier,Unspecified,0,0,129,310,193,396
P07798.jpg,580,866,3,scissor,Unspecified,0,0,336,425,399,548
P00791.jpg,592,559,3,knife,Unspecified,0,0,57,241,430,408
P00791.jpg,592,559,3,plier,Unspecified,0,0,283,109,479,218
P00791.jpg,592,559,3,wrench,Unspecified,0,0,277,101,455,291
P00791.jpg,592,559,3,gun,Unspecified,0,0,375,129,486,249
P00791.jpg,592,559,3,knife,Unspecified,0,1,54,294,357,335
P00791.jpg,592,559,3,plier,Unspecified,0,0,34,270,236,363
P00949.jpg,877,639,3,plier,Unspecified,0,0,205,402,471,479
P00949.jpg,877,639,3,gun,Unspecified,0,0,446,303,624,405
P00949.jpg,877,639,3,wrench,Unspecified,0,0,311,288,548,333
P00949.jpg,877,639,3,gun,Unspecified,0,0,199,230,394,334
P02186.jpg,654,524,3,gun,Unspecified,0,0,239,103,438,189
P03298.jpg,817,715,3,knife,Unspecified,0,0,99,256,416,450
P03298.jpg,817,715,3,knife,Unspecified,0,0,60,238,393,476
P03298.jpg,817,715,3,plier,Unspecified,0,0,126,313,302,471
P00961.jpg,870,653,3,gun,Unspecified,0,0,252,354,424,443
P00961.jpg,870,653,3,wrench,Unspecified,0,0,298,327,476,448
P00961.jpg,870,653,3,plier,Unspecified,0,0,187,137,432,297
P00961.jpg,870,653,3,gun,Unspecified,0,0,120,107,298,221
P05819.jpg,1064,896,3,plier,Unspecified,0,0,735,489,868,530
P02810.jpg,842,584,3,knife,Unspecified,0,0,66,111,458,230
P02810.jpg,842,584,3,knife,Unspecified,0,0,57,124,455,194
P02810.jpg,842,584,3,gun,Unspecified,0,0,61,386,184,468
P07968.jpg,416,663,3,wrench,Unspecified,0,0,209,335,282,437
P07968.jpg,416,663,3,plier,Unspecified,0,0,201,333,363,409
P08483.jpg,569,588,3,plier,Unspecified,0,0,159,199,217,348
P08497.jpg,898,752,3,plier,Unspecified,0,0,613,446,789,518
P02804.jpg,679,400,3,knife,Unspecified,0,0,224,183,547,303
P00975.jpg,600,619,3,plier,Unspecified,0,0,98,324,251,545
P00975.jpg,600,619,3,gun,Unspecified,0,0,218,218,409,266
P00975.jpg,600,619,3,wrench,Unspecified,0,0,275,100,459,258
P00975.jpg,600,619,3,gun,Unspecified,0,0,464,186,549,315
P06337.jpg,535,662,3,plier,Unspecified,0,0,359,231,398,353
P01458.jpg,826,788,3,gun,Unspecified,0,0,398,310,530,459
P01458.jpg,826,788,3,gun,Unspecified,0,0,552,318,657,420
P00746.jpg,578,520,3,plier,Unspecified,0,0,315,100,502,201
P00746.jpg,578,520,3,wrench,Unspecified,0,0,327,89,499,259
P00746.jpg,578,520,3,wrench,Unspecified,0,0,409,164,487,376
P00746.jpg,578,520,3,knife,Unspecified,0,0,443,122,504,373
P00746.jpg,578,520,3,knife,Unspecified,0,0,137,235,443,271
P00746.jpg,578,520,3,gun,Unspecified,0,0,438,96,515,246
P04520.jpg,413,388,3,scissor,Unspecified,0,0,263,341,340,359
P02637.jpg,807,512,3,gun,Unspecified,0,0,503,376,665,402
P03529.jpg,1536,793,3,wrench,Unspecified,0,0,798,316,1074,532
P03529.jpg,1536,793,3,gun,Unspecified,0,0,820,298,933,447
P03529.jpg,1536,793,3,knife,Unspecified,0,0,816,286,1029,474
P03529.jpg,1536,793,3,plier,Unspecified,0,0,895,290,1005,481
P04246.jpg,378,644,3,plier,Unspecified,0,0,48,333,183,420
P00020.jpg,693,396,3,knife,Unspecified,0,0,328,257,661,330
P00020.jpg,693,396,3,knife,Unspecified,0,0,312,98,579,169
P07997.jpg,652,590,3,plier,Unspecified,0,0,231,131,402,220
P06451.jpg,607,607,3,plier,Unspecified,0,0,418,334,540,442
P06451.jpg,607,607,3,plier,Unspecified,0,0,460,316,581,448
P08468.jpg,320,436,3,wrench,Unspecified,0,0,128,93,256,401
P00034.jpg,820,584,3,knife,Unspecified,0,0,77,460,465,536
P00034.jpg,820,584,3,knife,Unspecified,0,0,99,449,482,548
P00034.jpg,820,584,3,gun,Unspecified,0,0,52,218,90,317
P00034.jpg,820,584,3,gun,Unspecified,0,0,246,157,377,311
P07983.jpg,1500,1017,3,wrench,Unspecified,1,0,1,550,132,575
P06445.jpg,374,421,3,scissor,Unspecified,0,0,75,165,126,230
P02623.jpg,856,598,3,gun,Unspecified,0,0,63,364,158,447
P02623.jpg,856,598,3,gun,Unspecified,0,0,72,200,102,385
P02623.jpg,856,598,3,gun,Unspecified,0,0,113,236,226,294
P04252.jpg,548,686,3,plier,Unspecified,0,0,365,270,415,389
P04252.jpg,548,686,3,wrench,Unspecified,0,0,407,282,454,429
P04252.jpg,548,686,3,wrench,Unspecified,0,0,421,285,480,386
P04534.jpg,859,596,3,plier,Unspecified,0,0,516,263,607,393
P04534.jpg,859,596,3,wrench,Unspecified,0,0,462,285,627,329
P04534.jpg,859,596,3,plier,Unspecified,0,0,643,366,795,453
P02145.jpg,502,745,3,gun,Unspecified,0,0,382,390,483,560
P02145.jpg,502,745,3,plier,Unspecified,0,0,221,576,472,715
P02145.jpg,502,745,3,wrench,Unspecified,0,0,429,447,484,685
P02145.jpg,502,745,3,gun,Unspecified,0,0,174,203,262,376
P06323.jpg,487,303,3,scissor,Unspecified,0,0,168,46,227,104
P00752.jpg,547,578,3,knife,Unspecified,0,0,126,261,278,494
P00752.jpg,547,578,3,wrench,Unspecified,0,0,83,157,349,239
P00752.jpg,547,578,3,wrench,Unspecified,0,0,94,101,214,296
P00752.jpg,547,578,3,plier,Unspecified,0,0,75,96,196,263
P00752.jpg,547,578,3,gun,Unspecified,0,0,114,117,278,210
P00752.jpg,547,578,3,knife,Unspecified,0,0,88,120,317,211
P03273.jpg,666,418,3,gun,Unspecified,0,0,110,72,188,236
P03273.jpg,666,418,3,wrench,Unspecified,0,0,123,280,354,370
P05602.jpg,340,359,3,plier,Unspecified,0,0,63,111,131,171
P05602.jpg,340,359,3,plier,Unspecified,0,0,119,108,201,209
P01464.jpg,876,697,3,gun,Unspecified,0,0,370,249,492,373
P01464.jpg,876,697,3,gun,Unspecified,0,0,296,91,440,264
P08326.jpg,443,529,3,plier,Unspecified,0,0,105,338,261,429
P08326.jpg,443,529,3,plier,Unspecified,0,0,212,368,321,436
P08440.jpg,394,414,3,scissor,Unspecified,0,0,184,93,250,148
P07773.jpg,499,473,3,scissor,Unspecified,0,0,211,133,250,199
P01302.jpg,901,785,3,plier,Unspecified,0,0,172,366,357,592
P01302.jpg,901,785,3,gun,Unspecified,0,0,368,412,477,557
P01302.jpg,901,785,3,wrench,Unspecified,0,0,570,43,645,300
P05164.jpg,507,360,3,plier,Unspecified,0,0,433,90,465,246
P05164.jpg,507,360,3,plier,Unspecified,0,0,433,64,478,197
P05164.jpg,507,360,3,plier,Unspecified,0,0,464,104,480,233
P05170.jpg,294,381,3,plier,Unspecified,0,0,62,54,113,183
P05170.jpg,294,381,3,plier,Unspecified,0,0,85,32,160,168
P03501.jpg,528,323,3,gun,Unspecified,0,0,82,105,212,230
P03501.jpg,528,323,3,wrench,Unspecified,0,0,131,137,392,206
P03501.jpg,528,323,3,wrench,Unspecified,0,0,77,70,438,178
P03501.jpg,528,323,3,knife,Unspecified,0,0,44,33,441,153
P08454.jpg,400,443,3,scissor,Unspecified,0,0,185,213,219,288
P07767.jpg,1114,695,3,wrench,Unspecified,0,0,600,440,748,466
P07767.jpg,1114,695,3,wrench,Unspecified,0,0,620,429,747,451
P07767.jpg,1114,695,3,plier,Unspecified,0,0,604,334,742,410
P07767.jpg,1114,695,3,plier,Unspecified,0,0,681,279,771,321
P07767.jpg,1114,695,3,plier,Unspecified,0,0,657,238,763,288
P00008.jpg,688,427,3,knife,Unspecified,0,0,290,252,621,346
P00008.jpg,688,427,3,knife,Unspecified,0,0,254,116,519,160
P01316.jpg,600,498,3,gun,Unspecified,0,0,190,47,274,240
P01470.jpg,578,764,3,gun,Unspecified,0,0,44,444,212,557
P01470.jpg,578,764,3,gun,Unspecified,0,0,139,362,304,452
P08332.jpg,991,663,3,plier,Unspecified,0,0,602,410,769,473
P08332.jpg,991,663,3,plier,Unspecified,0,0,635,407,784,467
P07001.jpg,490,383,3,plier,Unspecified,0,0,148,148,262,231
P07001.jpg,490,383,3,plier,Unspecified,0,0,146,143,204,257
P07001.jpg,490,383,3,plier,Unspecified,0,0,71,173,191,263
P07001.jpg,490,383,3,plier,Unspecified,0,0,72,114,197,217
P04508.jpg,1307,707,3,plier,Unspecified,0,0,701,163,798,264
P04508.jpg,1307,707,3,wrench,Unspecified,0,0,933,133,1052,294
P04508.jpg,1307,707,3,plier,Unspecified,0,0,929,217,1048,295
P04508.jpg,1307,707,3,plier,Unspecified,0,0,959,53,1011,163
P03267.jpg,739,414,3,wrench,Unspecified,0,0,105,63,270,286
P03267.jpg,739,414,3,wrench,Unspecified,0,0,96,129,311,186
P03267.jpg,739,414,3,knife,Unspecified,0,0,86,100,365,130
P03267.jpg,739,414,3,knife,Unspecified,0,0,97,70,444,293
P03267.jpg,739,414,3,plier,Unspecified,0,0,86,141,198,284
P02179.jpg,592,610,3,gun,Unspecified,0,0,287,323,452,463
P05616.jpg,453,956,3,scissor,Unspecified,0,0,63,767,169,800
P05616.jpg,453,956,3,plier,Unspecified,0,0,55,744,135,779
P05399.jpg,490,445,3,scissor,Unspecified,0,0,377,205,408,285
P03930.jpg,385,470,3,scissor,Unspecified,0,0,166,123,245,159
P04087.jpg,616,429,3,wrench,Unspecified,0,0,27,106,100,300
P04087.jpg,616,429,3,wrench,Unspecified,0,0,38,115,140,233
P04087.jpg,616,429,3,wrench,Unspecified,0,0,55,186,133,286
P04087.jpg,616,429,3,wrench,Unspecified,0,0,104,270,152,336
P06848.jpg,435,560,3,wrench,Unspecified,0,0,78,314,307,445
P06848.jpg,435,560,3,plier,Unspecified,0,0,50,364,173,497
P06690.jpg,391,409,3,plier,Unspecified,0,0,269,44,360,178
P01699.jpg,670,587,3,plier,Unspecified,0,0,327,268,488,334
P01699.jpg,670,587,3,gun,Unspecified,0,0,523,132,607,270
P01699.jpg,670,587,3,wrench,Unspecified,0,0,204,30,433,123
P01841.jpg,618,450,3,plier,Unspecified,0,0,296,209,559,303
P01841.jpg,618,450,3,gun,Unspecified,0,0,372,201,556,296
P00587.jpg,698,576,3,knife,Unspecified,0,0,334,277,622,489
P00587.jpg,698,576,3,knife,Unspecified,0,0,289,218,612,493
P00587.jpg,698,576,3,plier,Unspecified,0,0,440,276,567,453
P04939.jpg,323,495,3,plier,Unspecified,0,0,176,208,241,316
P04939.jpg,323,495,3,plier,Unspecified,0,0,170,188,234,269
P02390.jpg,850,610,3,knife,Unspecified,0,0,106,394,494,565
P02390.jpg,850,610,3,knife,Unspecified,0,0,68,172,199,458
P02384.jpg,830,590,3,gun,Unspecified,0,0,105,422,195,499
P02384.jpg,830,590,3,gun,Unspecified,0,0,43,212,140,335
P01855.jpg,640,491,3,gun,Unspecified,0,0,12,84,144,225
P00593.jpg,1536,664,3,knife,Unspecified,0,0,136,227,324,392
P00593.jpg,1536,664,3,wrench,Unspecified,0,0,210,147,324,391
